date,card_id,price
2026-02-15,S117-010EX,79800
2026-02-15,S117-085EX,89800
2026-02-15,S117-002SP,34800
2026-02-15,S117-007SP,24800
2026-02-15,S117-010SP,19800
2026-02-15,S117-024SP,3980
2026-02-15,S117-031SP,34800
2026-02-15,S117-039SP,29800
2026-02-15,S117-052SP,3980
2026-02-15,S117-053SP,6980
2026-02-15,S117-058SP,17800
2026-02-15,S117-061SP,5980
2026-02-15,S117-064SP,9980
2026-02-15,S117-066SP,7980
2026-02-15,S117-085SP,24800
2026-02-15,S117-086SP,19800
2026-02-15,S117-093SP,17800
2026-02-15,S117-T09SP,9980
2026-02-15,S117-T14SP,29800
2026-02-15,S117-056EX,6980
2026-02-15,W132-077SSP,6980
2026-02-15,W132-048SSP,5980
2026-02-15,W132-018SP,4980
2026-02-15,W132-023SP,2980
2026-02-15,W132-073SP,8980
2026-02-15,W132-079SP,4980
2026-02-15,W132-043SP,39800
2026-02-15,W132-P01EX,24800
2026-02-15,W131-067EX,39800
2026-02-15,W131-035SP,6980
2026-02-15,W131-037SP,24800
2026-02-15,W131-064SP,17800
2026-02-15,W131-066SP,6980
2026-02-15,S102-083SP,29800
2026-02-15,S119-006SP,12800
2026-02-15,S119-036SP,9980
2026-02-15,S119-038SP,59800
2026-02-15,SE54-61SP,17800
2026-02-15,W113-003SSP,39800
2026-02-15,W113-052SSP,24800
2026-02-15,W113-056SP,2980
2026-02-15,W112-043SP,9980
2026-02-15,W112-087SP,5980
2026-02-15,W112-046SP,3980
2026-02-15,W112-038SP,29800
2026-02-15,W129-045SP,3980
2026-02-15,S107-036SP,4980
2026-02-15,S107-044SP,7980
2026-02-15,S121-028SSP,19800
2026-02-15,S121-029SSP,7980
2026-02-15,WE50-14SSP,19800
2026-02-15,WE50-02SSP,12800
2026-02-15,WE50-09SSP,14800
2026-02-15,WE50-01SP,9980
2026-02-15,WE50-21SP,2480
2026-02-15,WE50-56SP,2980
2026-02-15,S114-003MVR,1480
2026-02-15,W120-004S,4980
2026-02-15,W133-036SP,2980
2026-02-15,W126-053SP,2480
2026-02-15,W124-012SP,6980
2026-02-15,S119-064EX,3480
2026-02-15,S119-003SP,39800
2026-02-15,S119-074SP,29800
2026-02-15,S119-105SP,24800
2026-02-15,OP06-101,24800
2026-02-15,OP14-120,2480
2026-02-15,おナミ(パラレル)(COMPLETE GUIDE),2480
2026-02-15,S117-P11EX,39800
2026-02-15,S117-P12EX,29800
2026-02-15,S102-085SP,19800
2026-02-15,OP04-078,30
2026-02-15,おナミ(パラレル),2980
2026-02-15,OP01-078,59800
2026-02-15,020/M-P,3480
2026-02-15,347/190,59800
2026-02-15,063/049,59800
2026-02-15,130/101,24800
2026-02-15,217/187,59800
2026-02-15,050/049,6980
2026-02-15,051/049,8980
2026-02-15,052/049,12800
2026-02-15,ゼニガメ(AR仕様),7980
2026-02-15,392/SM-P,29800
2026-02-15,211/SM-P,69800
2026-02-15,199/SM-P,128000
2026-02-15,323/S-P,44800
2026-02-15,144/S-P,29800
2026-02-15,001/030,39800
2026-02-15,W132-042SP,17800
